Name,Description,Price,Stock,Category,Subcategory,SKU,Status,Image
DW8303A,"Highback Swivel Chair -  Meshback, Fabric seat, adjusable armrest, nylon base.","2,350.00",78,Chairs,Office chair,SC0001,In Stock,https://photos.app.goo.gl/7MvVrGJkce6JfvGM6
KIT 830,"Highback Swivel Chair -  All leather chair, seat adjusable, fixed armrest, nylon base.","1,998.00",15,Chairs,Office chair,SC0003,In Stock,https://photos.app.goo.gl/vRivZhizT7zY1tKY7
EF983HWR,"Highback swivel chair, rough texture leather, fixed armrest with wooden ascent, seat hieght adjustabe, intergral headrest, wood ascent base.","5,420.00",3,Chairs,Executice Chair,SC0004,In Stock,https://photos.app.goo.gl/nWUvGnVinCsGYKUr8
EF983HAR,"Highback swivel chair, rough texture leather, padded fixed armrest, seat hieght adjustabe, intergral headrest, chrome base.","5,820.00",11,Chairs,Executice Chair,SC0005,In Stock,https://photos.app.goo.gl/umRKUVieJrEEUBPb9
EF0398HN,"Highback swivel chair, Adjustable headrest, adjustable padded armrest, mesh back, fabric seat. Seat depth adjustment(seat slide), seat hieght adjustable, recline option, chrome base.","2,950.00",740,Chairs,Semi-ergonomic swivel chair,SC0006,In Stock,https://photos.app.goo.gl/3jmZr9UFEHxg7ZzQA
EF0603HAL,"Highback swivel chair, All leather, padded fixed armrest, seat hieght adjustabe, intergral headrest, nyon base.","1,995.00",14,Chairs,Office chair,SC0007,In Stock,https://photos.app.goo.gl/N6QDUWT3JaFd3GFx9
BOLOGNA-HB BROWN,"High back leather chair 
Unique backrest curve with comfortable lumbar support, 
Heigh adjustable backrest for different top people
Synchro tilting mechanism with seat sliding 
Fixed chrome aluminum armrest with PU arm pad 
Synchro tilting mechanism with seat sliding 
Aluminum base and PU castors ","5,966.00",4,Chairs,Executive Swivel Chair,SC0015,In Stock,https://photos.app.goo.gl/K1bBRxTDsT98mAfe8
BOLOGNA-HB BLACK,"High back leather chair 
Unique backrest curve with comfortable lumbar support, 
Heigh adjustable backrest for different top people
Synchro tilting mechanism with seat sliding 
Fixed chrome aluminum armrest with PU arm pad 
Synchro tilting mechanism with seat sliding 
Aluminum base and PU castors ","5,866.00",10,Chairs,Executive Swivel Chair,SC0016,In Stock,https://photos.app.goo.gl/71XCvy8U3r1WihTE7
PUGLIA CONF. DARK GREY,"Conference chair with up&down adjustment 
Nice curved backrest 
Comfortable armrest 
Simple up&down mechanism without tilting 
Chrome gaslift without Auto-return 
Aluminum base 
Chrome PU castors ","5,866.00",19,Chairs,Executive Swivel Chair,SC0017,In Stock,https://photos.app.goo.gl/agR2A1P6rFsA1p348
PUGLIA CONF. BROWN,"Conference chair with up&down adjustment 
Nice curved backrest 
Comfortable armrest 
Simple up&down mechanism without tilting 
Chrome gaslift without Auto-return 
Aluminum base 
Chrome PU castors ","5,866.00",20,Chairs,Executive Swivel Chair,SC0018,In Stock,https://photos.app.goo.gl/4gxWPMQ4KkdfC85z6
PUGLIA CONF. BLACK,"Conference chair with up&down adjustment 
Nice curved backrest 
Comfortable armrest 
Simple up&down mechanism without tilting 
Chrome gaslift without Auto-return 
Aluminum base 
Chrome PU castors ","5,866.00",50,Chairs,Executive Swivel Chair,SC0019,In Stock,https://photos.app.goo.gl/LVA7Td4HrXXkRAUUA
PUGLIA LEISURE MB BLACK,"Mid back lesiure leather chair 
Nice curved backrest 
Comfortable armrest 
Auto return gaslift 
Aluminum 4star base ","5,866.00",30,Chairs,Executive Swivel Chair,SC0020,In Stock,https://photos.app.goo.gl/SqGWJUtxQ3KSyQHV7
